S3,,,,,,,,,,,,,,
,Mag,Ef,Ef_per_area,Ef_per_atom,Ef_per_aa,num_BN,num_M,M_label,a,b,gamma,area,E0,E_M
Al3B4N4_2.90%_3,-0.0003,-9.04200012,-0.419091958,-0.475894743,-0.022057471,8,3,Al,4.991283916,4.991283928,60.00000008,21.57521745,-1.52E+02,-0.20667396
Au3B4N4_0.10%_3,0,-9.55955265,-0.444888104,-0.50313435,-0.023415163,8,3,Au,4.981132273,4.981132234,59.99999974,21.48754386,-1.52E+02,-0.18633645
Be8B3N3_1.99%_8,0,-28.51018136,-1.754585336,-1.425509068,-0.087729267,6,8,Be,4.331590941,4.33159054,119.9999956,16.24895682,-1.35E+02,-0.04365158
Bi8B13N13_0.43%_8,0,-22.8994128,-0.324639183,-0.38165688,-0.005410653,26,8,Bi,9.02498286,9.024982628,60.00000397,70.53804348,-4.95E+02,-1.3269664
Ca3B7N7_0.12%_3,0.004,-4.460710031,-0.116924689,-0.143893872,-0.003771764,14,3,Ca,6.637179827,6.637179063,60.00000433,38.1502835,-2.53E+02,-0.034325323
Cd18B13N13_0.74%_18,-0.0001,-18.66166381,-0.265766011,-0.266595197,-0.003796657,26,18,Cd,9.004510855,9.004511072,119.9999931,70.21839915,-4.81E+02,-0.015770566
CuBN_0.25%_1,0.0001,-3.20330055,-0.592739876,-0.64066011,-0.118547975,2,1,Cu,2.498051835,2.498051675,60.00001099,5.40422651,-3.89E+01,-0.23653045
Ir13B16N16_2.35%_13,15.3781,-75.4252941,-0.891867607,-0.979549274,-0.011582696,32,13,Ir,9.881957871,9.881957955,59.99999777,84.5700567,-6.63E+02,-1.5100003
Mg26B21N21_1.62%_26,0.0015,-38.03309786,-0.334254666,-0.345755435,-0.003038679,42,26,Mg,11.46243244,11.46243269,119.9999993,113.7847926,-7.84E+02,-0.011054236
Na24B25N25_0.52%_24,0.9046,-27.36551504,-0.200813262,-0.220689637,-0.001619462,50,24,Na,12.54412295,12.5441232,120.000002,136.2734452,-9.21E+02,-0.23449854
Os26B16N16_1.46%_26,0,-202.5035746,-2.392277772,-2.250039718,-0.026580864,32,26,Os,9.886560202,9.886560814,120.0000001,84.64885514,-8.43E+02,-2.7922709
Pb7B13N13_2.58%_7,-0.0013,-20.33654962,-0.28692443,-0.344687282,-0.004863126,26,7,Pb,9.046686527,9.046686631,60.00000506,70.87772069,-4.86E+02,-0.62007634
Pd13B16N16_1.19%_13,0,-41.2795041,-0.480110594,-0.536097456,-0.006235203,32,13,Pd,9.963943615,9.963944652,59.99999613,85.97915695,-6.29E+02,-1.4774703
